frame,actor_1_ppa,actor_2_ppa
1,0.039386429453509855,0.012067308330875597
2,0.03801289709719107,0.013952579465031242
3,0.035134728314574405,0.016187650297035037
4,0.03120784531159595,0.018219836195472437
5,0.0269148651886083,0.019800448218527972
6,0.022703492394231965,0.021005209973809225
7,0.01856961156622337,0.022069788545515518
8,0.014169368867880823,0.023227029677586292
9,0.009148803060975033,0.024639068966735938
10,0.003662765666411785,0.026402839400067695
11,0.0005789984081446915,0.02857772057510129
12,0.0026123536686215,0.031200631526856842
13,0.0028249229484362654,0.03426873811512089
14,0.003940891994468829,0.037673734344618126
15,0.004305586482158857,0.04103717573278326
16,0.004098577018951634,0.04330424285186393
17,0.0036197883902776293,0.04224803887556538
18,0.0030819786784753852,0.03405228007385488
19,0.0025968718099697785,0.017814510524357837
20,0.0021983023082462368,0.0027616309447374156
21,0.0018828807317915332,0.002579386564844396
22,0.0016355173814965377,0.006396225745781664
23,0.0014405126421877484,0.008928195798566428
24,0.001285070828468199,0.01007561652436328
25,0.0011597188821409743,0.010351330651836974
26,0.0010577248238337082,0.010192063819113093
27,0.0009742115567719714,0.0098513904156252
28,0.0009056447005643649,0.0094520694884456
29,0.0008494940467158913,0.009046302632721492
30,0.0008038900558878889,0.008651649402032542
31,0.0007680658146235318,0.008289575000404184
32,0.0007411064795020837,0.007965618991497328
33,0.0007222261318183034,0.007676138667684976
34,0.0007107978177678208,0.007412691033666202
35,0.0007063600881968366,0.007165532169222659
36,0.0007086260817001349,0.006926157290492098
37,0.00071747802570597,0.006688542012594341
38,0.0007329347489899459,0.006651434630081625
39,0.0007551193854279021,0.006410138604400657
40,0.0007843189927439838,0.006165626458213905
41,0.0008209406714906167,0.005922166972235145
42,0.0008654677703314941,0.005685374653516996
43,0.0009184132183644162,0.005461405295427707
44,0.0009802681317926053,0.005256403855303582
45,0.0010514456553124534,0.005076224902761943
46,0.001132222559793619,0.00492640912140344
47,0.0012226841644379376,0.004812381473069371
48,0.0013226809612613276,0.004739840248664604
49,0.0014318065275497856,0.004715327598013067
50,0.001549401103100392,0.004747002790333166
51,0.0016745722117595598,0.0048456846921592495
52,0.0018061850590768763,0.005026249622404526
53,0.001942629556731198,0.005309431034168793
54,0.0020806845074124725,0.005723832042717487
55,0.002212812412810954,0.006307359798665122
56,0.002326677566319361,0.0071022630257339524
57,0.0024528242301581093,0.008115002670110543
58,0.002709360866818383,0.009124785768193743
59,0.0029688019994735444,0.009234319267123868
60,0.003116034523352848,0.006923572255284199
61,0.0031176860540618016,0.002163980393887886
62,0.002941683484505489,0.0011791414217437201
63,0.0025214627588952465,0.010996947398003123
64,0.001738442591994686,0.029430061844308388
65,0.0004486727725725895,0.03808728082890037
66,0.0012749562864722676,0.03831989930118075
67,0.0034137404306835645,0.034726520166824655
68,0.016948036284400645,0.03010158059118026
69,0.033561645890958905,0.025807983630240155
70,0.041206837021704114,0.022217580128619595
71,0.03795057581183531,0.019327031607540502
72,0.03112090637580689,0.01702261451493223
73,0.022797769612212887,0.015177616433267916
74,0.015941092587533158,0.01368420866519008
75,0.011013623168542444,0.012454834046972368
76,0.007684013985222565,0.011421018823178903
77,0.0054932262882418275,0.010535975145726911
78,0.0040515318285499115,0.009770902233757024
79,0.0030883608433012496,0.009225421443438252
80,0.0024303498213301094,0.008806072191862966
81,0.0019699641243358023,0.00844126858561676
82,0.0016397682320390423,0.00812793665599594
83,0.0013955468865450868,0.007864464122919565
84,0.0012143097420282856,0.007649527110179849
85,0.0010810711414118057,0.007483504132161639
86,0.000983961819285624,0.00736790854924518
87,0.0009143261865307685,0.007304491508887689
88,0.0008650312736507357,0.007294003666610419
89,0.0008307497651802698,0.007336573219101584
90,0.00080769429797985,0.007433241979405045
91,0.0007931672558261119,0.007587505078936339
92,0.0007850891247034299,0.007806392271885238
93,0.0007815409738849364,0.00810146278539488
94,0.0007807281572826913,0.00849044943233494
95,0.0007796490829238014,0.008999360155356533
96,0.0007731246466378956,0.009666403742972422
97,0.0007521454061997392,0.010548625502580539
98,0.0007015060245864231,0.011733592956010057
99,0.0005927382875437573,0.013358409875722295
100,0.00036667520203989556,0.01564485169326958
101,0.00029595848487405755,0.018937607432104105
102,0.00036196973666920965,0.023752204316254556
103,0.0003004562331666375,0.030513416938140525
104,8.941326700489674e-5,0.037926518708070324
105,0.0008387152043691178,0.03877266025172892
106,0.0017371641796538866,0.021102806625453933
107,0.002301419949384342,0.0016726026248903303
108,0.0023697368766973153,0.008978653071669245
109,0.002170781411555001,0.012270474937773218
110,0.0020877303092165203,0.011085232588357844
111,0.0019051815338155514,0.008874206740447246
112,0.0016980904672803173,0.006910549913077939
113,0.0015004716631251793,0.005401696492360426
114,0.0013249012701645189,0.004290877625121675
115,0.001173947888731742,0.003463294239508115
116,0.0010462258259662717,0.0028419499700525286
117,0.0009389184363266457,0.002369651104866055
118,0.0008488517136656824,0.0020055680493473852
119,0.0007730001637963547,0.001720836188440504
120,0.0007087375631214429,0.0014950924534346001
121,0.0006539281008861352,0.001313953198893469
122,0.0006069090635029751,0.001167190860274259
