frame,primary_activation,secondary_activation,combined_activation
109,0.00016407443614464755,0.052138131767296654,0.0523022062034413
110,0.011992825465247672,0.26826106714165016,0.2802538926068978
111,0.12080513826281687,0.3048949332327159,0.42570007149553274
112,0.40734808854513704,0.2944389629376473,0.7017870514827844
113,0.7184086719700862,0.3009829603319546,1.0193916323020407
114,0.8618096379148531,0.31402985881862644,1.1758394967334795
115,0.8399417784239582,0.3229293825657079,1.162871160989666
116,0.7545892117909991,0.3228469397918076,1.0774361515828068
117,0.6755527258236601,0.31299142445704575,0.9885441502807059
118,0.6234592359048818,0.2954104544920949,0.9188696903969767
119,0.5964805896250175,0.2735432605517103,0.8700238501767278
120,0.5876973390175388,0.25096708719438454,0.8386644262119234
121,0.5899578023995159,0.23045917263916293,0.8204169750386788
122,0.5965709083673258,0.21346642223879736,0.8100373306061233
123,0.6018681450206039,0.2001684331528925,0.8020365781734964
124,0.6017784639571566,0.18999698054194628,0.7917754444991029
125,0.5938145955857789,0.18220104773543916,0.776015643321218
126,0.576570003449845,0.17617788053454875,0.7527478839843937
127,0.5492566231372483,0.17156072247743115,0.7208173456146795
128,0.5116362723278924,0.16817737008178074,0.6798136424096732
129,0.4643430125509198,0.16597024709938696,0.6303132596503067
130,0.4093666312623996,0.16490722850663325,0.5742738597690329
131,0.3494775588859717,0.16502455118660153,0.5145021100725733
132,0.2885803729380458,0.16631594051864135,0.45489631345668713
133,0.23696123851118442,0.1675002522155128,0.40446149072669724
134,0.19631702403135592,0.1681824672400037,0.3644994912713596
135,0.16546994235273385,0.16837801376572262,0.33384795611845647
136,0.14124967336332175,0.1685986404572279,0.30984831382054967
137,0.12094844309258582,0.16938730514060496,0.29033574823319075
138,0.10295853610783516,0.17111334291006963,0.2740718790179048
139,0.08665767524894943,0.17395585380208733,0.26061352905103674
140,0.07201730521751869,0.17797474758313497,0.24999205280065367
141,0.05862619884974688,0.18338924448864513,0.242015443338392
142,0.045957568157808514,0.1905589070661431,0.2365164752239516
143,0.0342962080497574,0.19971444979006897,0.23401065783982639
144,0.02298763349578966,0.2116295183325433,0.23461715182833295
145,0.012042257821733016,0.22719287799208837,0.2392351358138214
146,0.0036930366871430497,0.2468981176909656,0.25059115437810864
147,0.0003999409022006666,0.27065754433448186,0.27105748523668255
148,4.161148726731909e-6,0.30398514866643683,0.3039893098151636
149,1.5713780534141428e-10,0.3595899213821305,0.3595899215392683
