frame,primary_activation,secondary_activation,combined_activation
1,0.0,0.0,0.0
2,0.0,0.0,0.0
3,0.0,0.0,0.0
4,0.0,0.0,0.0
5,0.0,0.0,0.0
6,0.0,0.0,0.0
7,0.0,0.0,0.0
8,0.0,0.0,0.0
9,0.0,0.0,0.0
10,0.0,0.0,0.0
11,0.0,0.0,0.0
12,3.288608899046096e-195,0.0,3.288608899046096e-195
13,1.2307523966484345e-38,0.0,1.2307523966484345e-38
14,1.3945042904317744e-13,0.0,1.3945042904317744e-13
15,3.6039473136810335e-6,0.0,3.6039473136810335e-6
16,0.0026538712764349504,0.0,0.0026538712764349504
17,0.049163761165422606,0.0,0.049163761165422606
18,0.19643692947970962,0.0,0.19643692947970962
19,0.38697547160243423,0.0,0.38697547160243423
20,0.5393052990821552,0.0,0.5393052990821552
21,0.6286000480795207,0.0,0.6286000480795207
22,0.666994309414399,0.0,0.666994309414399
23,0.6744942360094224,0.0,0.6744942360094224
24,0.666628151414968,0.0,0.666628151414968
25,0.6519141776514873,0.0,0.6519141776514873
26,0.6340986177384034,0.0,0.6340986177384034
27,0.6145920062326302,0.0,0.6145920062326302
28,0.5941919924863546,0.0,0.5941919924863546
29,0.5739579966514285,0.0,0.5739579966514285
30,0.555360102187091,0.0,0.555360102187091
31,0.5399636386134902,0.0,0.5399636386134902
32,0.5289769722145751,0.0,0.5289769722145751
33,0.5229319190897231,0.0,0.5229319190897231
34,0.5216117881507732,0.0,0.5216117881507732
35,0.5241960010915413,0.0,0.5241960010915413
36,0.529521716308502,0.0,0.529521716308502
37,0.5363610974821453,0.0,0.5363610974821453
38,0.543639239306962,0.0,0.543639239306962
39,0.5505530309894494,0.0,0.5505530309894494
40,0.5565899750695208,0.0,0.5565899750695208
41,0.561477833498544,0.0,0.561477833498544
42,0.5651083482378867,0.0,0.5651083482378867
43,0.5674695150812373,0.0,0.5674695150812373
44,0.5686018335342987,0.0,0.5686018335342987
45,0.568577547631068,0.0,0.568577547631068
46,0.5674942144827615,3.001853353923191e-98,0.5674942144827615
47,0.5654737524080798,6.32901647737313e-41,0.5654737524080798
48,0.5626613107380418,5.389208603715487e-20,0.5626613107380418
49,0.5592216137337093,2.0614958079297044e-10,0.5592216139398588
50,0.5553325552609792,1.6494273996149217e-5,0.5553490495349754
51,0.5511767951703415,0.006478413500689677,0.5576552086710311
52,0.5469324108461048,0.12994390123697577,0.6768763120830805
53,0.5427636780518386,0.41172056704313126,0.9544842450949698
54,0.538812965622035,0.3910192948852423,0.9298322605072773
55,0.5351945564141636,0.28508157082195174,0.8202761272361153
56,0.5319909443428228,0.4074702934385253,0.939461237781348
57,0.5292518234455329,0.4257890610490482,0.955040884494581
58,0.5269956341278007,0.23101916954710772,0.7580148036749084
59,0.5252132307596172,0.06832235781104687,0.5935355885706641
60,0.5238730358856242,0.012279132815638756,0.5361521687012629
61,0.5229269716612387,0.0015936830927087827,0.5245206547539475
62,0.5223164997850706,0.00019511151128255385,0.5225116112963532
63,0.5219782259848914,3.260718166280557e-5,0.5220108331665542
64,0.5218486933575278,1.1337185262335131e-5,0.5218600305427902
65,0.521868162055333,1.153949738546164e-5,0.5218797015527185
66,0.5219833224616246,3.732376775040163e-5,0.522020646229375
67,0.522148999802609,0.00028722014457327716,0.5224362199471823
68,0.5223289770487218,0.0029674614324906607,0.5252964384812125
69,0.5224960955745622,0.023127226147753425,0.5456233217223156
70,0.5226317992151602,0.09888496602785635,0.6215167652430166
71,0.5227252773519231,0.23027646348906325,0.7530017408409864
72,0.5227723448123002,0.34641983325609316,0.8691921780683933
73,0.5227741761706172,0.4069099367169506,0.9296841128875677
74,0.5227359923621717,0.4230624487261293,0.945798441088301
75,0.5226657793572169,0.40939682358097856,0.9320626029381955
76,0.5225731019364572,0.3664156827791857,0.8889887847156429
77,0.5224680599620449,0.29052586290033205,0.812993922862377
78,0.5223604196203661,0.19090389708914865,0.7132643167095147
79,0.5222589378711621,0.09554704356343593,0.617805981434598
80,0.5221708850127232,0.03284718238060891,0.5550180673933321
81,0.5221017583152544,0.0068067624413855965,0.52890852075664
82,0.5220551696091734,0.0007147622810388557,0.5227699318902123
83,0.5220328820045956,2.9831963295484886e-5,0.5220627139678912
84,0.5220349658542144,3.46538456354335e-7,0.5220353123926708
85,0.522060041713241,6.483551554486733e-10,0.5220600423615962
86,0.5221055782166157,8.100769482377186e-14,0.5221055782166968
87,0.522168215098995,1.5156143479039433e-19,0.522168215098995
88,0.5222440855043665,2.8282208020965964e-28,0.5222440855043665
89,0.5223291166873537,2.5562308506155373e-42,0.5223291166873537
90,0.52241929363082,9.423065819301391e-67,0.52241929363082
91,0.5225108755002716,1.2166072706695357e-114,0.5225108755002716
92,0.5226005598397103,2.1279227707453582e-229,0.5226005598397103
93,0.5226855937209812,0.0,0.5226855937209812
94,0.5227638345401898,0.0,0.5227638345401898
95,0.5228337657593871,0.0,0.5228337657593871
