step,x,y,z,vx,vy,vz,heading,omega
1, 3.15860324390311, -1.7426832623963433, 1.5, -0.025368699923189554, 0.2989254573705745, 0.0, 1.6554597667805393, 0.1
2, 3.30578953520416, -1.4762264119110835, 1.5, -0.05217021359889678, 0.29542895730284374, 0.0, 1.7455856878731943, 0.1
3, 3.451773642071163, -1.2013906992637893, 1.5, -0.08190362380279048, 0.2886031815624543, 0.0, 1.8473189986359435, 0.1
4, 3.607024730187777, -0.9124815640870426, 1.5, -0.11608434292130002, 0.2766304851756762, 0.0, 1.9681155746177732, 0.1
5, 3.779485984360209, -0.5943150858862758, 1.5, -0.15582744171486096, 0.25635484861535507, 0.0, 2.1169740169076077, 0.1
6, 3.9660972375751187, -0.22077309911038334, 1.5, -0.20057657961652917, 0.22308974810451093, 0.0, 2.3031055086757903, 0.1
7, 4.137030738429333, 0.23558891180009844, 1.5, -0.24574005244485522, 0.1720808723373978, 0.0, 2.5306950993645283, 0.1
8, 4.228249502095261, 0.7702697693720506, 1.5, -0.2815753695176612, 0.1035147877406535, 0.0, 2.789301351122566, 0.1
9, 4.17854501161561, 1.3143557243004726, 1.5, -0.2987458694027064, 0.02740265525129022, 0.0, 3.0501229728324035, 0.1
10, 3.9878962578186576, 1.770354500122736, 1.5, -0.29707566581131245, -0.04178574856054894, 0.0, -3.0018524771058703, 0.1
11, 3.708716319224029, 2.084495426639269, 1.5, -0.2842378461955356, -0.09596273646641722, 0.0, -2.815994269027922, 0.1
12, 3.393265684970581, 2.2577797850548293, 1.5, -0.26786779500503877, -0.13508088095337004, 0.0, -2.674525393970527, 0.1
13, 3.071371706457307, 2.314596335856067, 1.5, -0.2522225401646583, -0.1624308783233266, 0.0, -2.569448156042976, 0.1
14, 2.7556639157119975, 2.280831728741015, 1.5, -0.23896757345335323, -0.18136840639377141, 0.0, -2.492377576893577, 0.1
15, 2.4504402679702677, 2.1775502050273063, 1.5, -0.22850839272681384, -0.1943808489882895, 0.0, -2.436720882886763, 0.1
16, 2.1569001937888936, 2.02108152597591, 1.5, -0.220777137518539, -0.2031193135797778, 0.0, -2.3978264054967093, 0.1
17, 1.8754830084074345, 1.8243599226358629, 1.5, -0.21558508840802992, -0.2086218340828733, 0.0, -2.372607774969219, 0.1
18, 1.606780005483143, 1.5980060481258624, 1.5, -0.21276126703428044, -0.21150092966691095, 0.0, -2.3591651382250465, 0.1
19, 1.351851653860824, 1.3509345774659223, 1.5, -0.21220183702663423, -0.21206220870895826, 0.0, -2.3565235972992005, 0.1
20, 1.112317839625439, 1.0905589254124959, 1.5, -0.21388548441425986, -0.21036396924587017, 0.0, -2.3644948763552174, 0.1
21, 0.8903603440408239, 0.8226699976747425, 1.5, -0.21787564316969965, -0.2062285240052639, 0.0, -2.3836504627284514, 0.1
22, 0.6886605537877981, 0.5510103045622501, 1.5, -0.22431300234503923, -0.19920762279329177, 0.0, -2.415403025286496, 0.1
23, 0.5101989978797095, 0.2765027230414694, 1.5, -0.23338727097677323, -0.18849504435399414, 0.0, -2.462204932879686, 0.1
24, 0.35768467093177825, -0.00394467113680097, 1.5, -0.24525338184404946, -0.17277377895403245, 0.0, -2.5278726332855452, 0.1
25, 0.23205080756887764, -0.2990381056766567, 1.5, -0.2598076211353315, -0.1500000000000001, 0.0, -2.617993877991494, 0.1
26, 0.1288569986195658, -0.6244324453090254, 1.5, -0.2761496552509291, -0.11722358083932174, 0.0, -2.7401515633859277, 0.1
27, 0.031086881924298204, -1.000824934977404, 1.5, -0.2915038276755551, -0.07089089116734437, 0.0, -2.903033356721848, 0.1
28, -0.09984864496050605, -1.4410727620343946, 1.5, -0.29987120648693844, -0.008789739476681041, 0.0, -3.1122893284606166, 0.1
29, -0.3191683176876101, -1.9202695734587332, 1.5, -0.2927725273901488, 0.06545416110213757, 0.0, 2.9216429517002647, 0.1
30, -0.6567881378491467, -2.3572670288327022, 1.5, -0.2655394267913543, 0.13960233815849576, 0.0, 2.6575726841718046, 0.1
31, -1.0753215845656763, -2.662572499405303, 1.5, -0.2236156793873765, 0.19999006958377216, 0.0, 2.411909406652314, 0.1
32, -1.5022211837883779, -2.8059989556361757, 1.5, -0.17773711453947907, 0.24168061178998224, 0.0, 2.204901712538974, 0.1
33, -1.8877772996257094, -2.8120947852767486, 1.5, -0.13523282370585676, 0.26779111895755736, 0.0, 2.038430897979232, 0.1
34, -2.216293381915161, -2.719559012627676, 1.5, -0.09834976660215614, 0.283420753314399, 0.0, 1.904804752421838, 0.1
35, -2.4906165831409504, -2.560237854258529, 1.5, -0.06657393285907, 0.29251993344672433, 0.0, 1.7945723905996698, 0.1
36, -2.719686863134748, -2.3564982311508467, 1.5, -0.03849858612130281, 0.29751951006053473, 0.0, 1.699479807616099, 0.1
37, -2.913396533267148, -2.123753165035428, 1.5, -0.012595793554414108, 0.2997354600055432, 0.0, 1.6127946507425606, 0.1
38, -3.081340447326002, -1.8727196350384816, 1.5, 0.012595793554414012, 0.2997354600055432, 0.0, 1.528798002847233, 0.1
39, -3.233001344752119, -1.6104285696562826, 1.5, 0.03849858612130285, 0.29751951006053473, 0.0, 1.442112845973694, 0.1
40, -3.3782690212618833, -1.3400279250311296, 1.5, 0.06657393285906991, 0.29251993344672433, 0.0, 1.3470202629901238, 0.1
41, -3.527623603277241, -1.0593843648976462, 1.5, 0.09834976660215579, 0.2834207533143991, 0.0, 1.2367879011679563, 0.1
42, -3.6908816157038005, -0.7584534674906829, 1.5, 0.13523282370585687, 0.26779111895755736, 0.0, 1.103161755610561, 0.1
43, -3.872049377648098, -0.41640920156358874, 1.5, 0.1777371145394789, 0.24168061178998232, 0.0, 0.9366909410508198, 0.1
44, -4.056863976397363, -0.003961761711660516, 1.5, 0.22361567938737636, 0.19999006958377233, 0.0, 0.7296832469374799, 0.1
45, -4.197313828400537, 0.4959025200527567, 1.5, 0.2655394267913541, 0.13960233815849601, 0.0, 0.48401996941798964, 0.1
46, -4.222802016222928, 1.0475474254302304, 1.5, 0.2927725273901487, 0.06545416110213781, 0.0, 0.2199497018895294, 0.1
47, -4.098131398119687, 1.5582692883901377, 1.5, 0.29987120648693844, -0.008789739476680408, 0.0, -0.029303325129174558, 0.1
48, -3.855630820416436, 1.9460368172086626, 1.5, 0.29150382767555505, -0.07089089116734448, 0.0, -0.2385592968679458, 0.1
