frame,actor_1_ppa,actor_2_ppa
1,0.02195873938071734,0.012516375509705795
2,0.02212871953114072,0.01180845569796953
3,0.021430623926939764,0.010521441045099654
4,0.019821697635357717,0.008455945332012122
5,0.01747907988400059,0.00727315425320981
6,0.014659919880907408,0.008375113223003014
7,0.011814096088849176,0.009159315804878106
8,0.011369433862138532,0.009478426509571074
9,0.012544296910020302,0.009234395662364872
10,0.01321813332388497,0.008407745279511549
11,0.013476684167546337,0.007089815523825659
12,0.01340699331141389,0.0067306695354179625
13,0.01308641892530262,0.008336459664642491
14,0.012578610153885152,0.009526000548671922
15,0.011933653589585584,0.01033991186190593
16,0.011190091401531207,0.010848087950042683
17,0.010377493146118914,0.011104049502815527
18,0.0095925744295244,0.011135732284712978
19,0.010355127203973963,0.010958336647566555
20,0.012368710175832515,0.010591946172228865
21,0.01407498831311331,0.01007212494436659
22,0.01549475868701995,0.009449081850236653
23,0.016648947892296834,0.008778490904253776
24,0.017559027290784263,0.008110780985379646
25,0.018247201060847772,0.0074842272873455965
26,0.018736343169071024,0.006923229297449817
27,0.01904969950108285,0.006440278688635044
28,0.019210406125544408,0.0060394258117979814
29,0.019240897103447698,0.005719687393964066
30,0.019162279075520205,0.005477706554822518
31,0.018993736153070817,0.005309565046038746
32,0.018751997894298,0.0052118968648398566
33,0.018450882956066145,0.005182524640016677
34,0.018100897639510914,0.00522079029335623
35,0.017708853826268925,0.00532769316601779
36,0.01760467941823676,0.00550588477054944
37,0.01787846769478933,0.005759507172166979
38,0.01825145897542613,0.017399619726699615
39,0.01859610178494416,0.018047823461055955
40,0.018904872438424057,0.018774982500535796
41,0.019162292755178424,0.019530255403453788
42,0.01934281699792193,0.020235585649098112
43,0.019408327320172763,0.020779424187924028
44,0.0193053611721004,0.021016171221538746
45,0.018962500143462045,0.02077799027814529
46,0.01828868320375237,0.01990531436553772
47,0.01717396703239766,0.018295610705405422
48,0.015495271136880479,0.015955747254137592
49,0.013130616746447367,0.013029880268331365
50,0.010216184702665408,0.011456619401959202
51,0.011165134557906822,0.011803554712627609
52,0.012255421711970001,0.01203874639870003
53,0.01297284649249109,0.01205146743661948
54,0.01322358121711087,0.011927731984927843
55,0.012981289287513381,0.011749547088928716
56,0.012295721457710953,0.011582934364303459
57,0.011275165030667911,0.011474113252125618
58,0.010054570845071303,0.011448743605942616
59,0.008764299550128111,0.011509816434880657
60,0.008177077980499697,0.011629914181958502
61,0.008504265526458513,0.011736196973972405
62,0.009387175684635256,0.01169437585557995
63,0.010199247667427021,0.01279531684984066
64,0.010994397464812651,0.019921742867073662
65,0.011806767472274587,0.02800094605751554
66,0.012633754522247007,0.03659472617437062
67,0.013418837648486625,0.04521293652535309
68,0.014035884973622638,0.0529012213896477
69,0.01429127483104552,0.057465404950425236
70,0.013986726003666551,0.06044481913368914
71,0.013048756102144078,0.059110038856580935
72,0.011626306587879267,0.047781879851407076
73,0.010688094802229643,0.031047109076119628
74,0.009657335423396725,0.018928454822311737
75,0.008555465475597662,0.01700603582776118
76,0.007522756439947058,0.014566457036336255
77,0.006619731861406094,0.012099449046158518
78,0.005855402519364361,0.009961010682506823
79,0.00525885671064763,0.008203576823645248
80,0.0051055859984397624,0.0067699111164513815
81,0.005019912424895414,0.005576103130629779
82,0.004979091522693644,0.004539987838735308
83,0.004967226035438956,0.003589639298852304
84,0.004973190389453817,0.003015677087088712
85,0.00498918925255127,0.003516806643523441
86,0.005009764916948945,0.003938049916214166
87,0.005031084627206493,0.004236579491057458
88,0.005050387245419059,0.0044033863847279045
89,0.005065511687133137,0.004471461890646511
90,0.005074459030883264,0.004493189258601686
91,0.005074957587671502,0.004515858110352149
92,0.005064004433343283,0.004572616056368412
93,0.005037371109445159,0.0046843811723727025
94,0.004989037653245572,0.00486439655769597
95,0.00500776735337569,0.0051216512046021205
